id,year,income
47,2006,35991.55
48,2007,35779.02
49,2008,39876.3
50,2009,41309.0
51,2010,44968.16
52,2011,48760.08
53,2012,49145.28
54,2013,40898.65
55,2014,38475.4
56,2015,34960.64
57,2016,39375.47
58,2017,38834.05
59,2018,39727.12
60,2019,40458.0
61,2020,39918.17
62,2021,39312.66
62,2022,33911.21
